method,P,MAPE,MAE,RMSE,NRetrieved,adaptation,distancefcn
CBR,5,4.377706031095616,6.213598602554165,5.197522047095577,10,1,minkowski
CBR,5,4.301964307707134,6.150649485906441,5.10204989745964,10,1,chebyshev
CBR,5,4.267793308868119,6.2994691462057375,5.068688226734775,10,1,cosine
CBR,5,4.329768223445415,6.371602729868092,5.151363262743842,10,1,correlation
CBR,5,4.5054722459261605,6.5096060792861,5.3328135491814885,10,1,hamming
CBR,5,4.205923517033699,6.2394105753622044,4.986178225637959,10,1,jaccard
CBR,7,4.640361495396414,6.671632909062483,5.55303532432916,3,0,euclidean
CBR,7,4.640361495396414,6.671632909062483,5.55303532432916,3,0,sqeuclidean
CBR,7,4.684744973579448,6.69222486346127,5.592021183735769,3,0,seuclidean
CBR,7,5.274520812416943,7.590388475372678,6.255719167451488,3,0,mahalanobis
CBR,7,4.662247138127184,6.61297284488325,5.562295374643672,3,0,cityblock
CBR,7,4.640361495396414,6.671632909062483,5.55303532432916,3,0,minkowski
CBR,7,4.740807228564223,6.722387628851627,5.627169431003733,3,0,chebyshev
CBR,7,4.396445439443917,6.44737881705603,5.209127369060648,3,0,cosine
CBR,7,4.731961729734195,6.989355778794307,5.631356135239864,3,0,correlation
CBR,7,5.06853695319642,7.164705733994933,5.9677754966113765,3,0,hamming
CBR,7,4.587663788818776,6.654569939746061,5.4311182510125615,3,0,jaccard
CBR,7,4.642054946700245,6.693044467160066,5.554640072536439,3,1,euclidean
CBR,7,4.672726095985027,6.733927588019256,5.590653315949276,3,1,sqeuclidean
CBR,7,4.676917498792947,6.71743773033043,5.5850683301206585,3,1,seuclidean
CBR,7,5.306904557360523,7.572346336104577,6.29349524474793,3,1,mahalanobis
CBR,7,4.662007545242337,6.646179020519117,5.5639352710491785,3,1,cityblock
CBR,7,4.642054946700238,6.693044467160064,5.554640072536432,3,1,minkowski
CBR,7,4.747816402895681,6.733815424901793,5.635732454149138,3,1,chebyshev
CBR,7,4.39758184180851,6.446753062422496,5.214077344129602,3,1,cosine
CBR,7,4.710810945551543,6.949614383245836,5.610923227238655,3,1,correlation
CBR,7,5.069242626485583,7.166939308312395,5.968913564552633,3,1,hamming
CBR,7,4.587663788818775,6.654569939746061,5.43111825101256,3,1,jaccard
CBR,7,4.308290249470312,6.241750430667464,5.1252579108923175,10,0,euclidean
CBR,7,4.308290249470312,6.241750430667464,5.1252579108923175,10,0,sqeuclidean
CBR,7,4.30274754113312,6.232177612202492,5.115943843087054,10,0,seuclidean
CBR,7,4.481556080736963,6.583971727134089,5.355724941632383,10,0,mahalanobis
CBR,7,4.239901137921087,6.167951218213975,5.048644197473727,10,0,cityblock
CBR,7,4.308290249470312,6.241750430667464,5.1252579108923175,10,0,minkowski
CBR,7,4.191322796561971,6.0928623329618885,4.985574724192092,10,0,chebyshev
CBR,7,4.15221678692864,6.226641142184388,4.958523657319512,10,0,cosine
CBR,7,4.24381283067069,6.3575174186430985,5.056873420276263,10,0,correlation
CBR,7,4.320576868797229,6.402790170857414,5.137630405680273,10,0,hamming
CBR,7,4.142065169330766,6.210354578817944,4.9393332494757,10,0,jaccard
CBR,7,4.329155541881506,6.240547502897879,5.153565882799808,10,1,euclidean
CBR,7,4.378407909701146,6.283376567585378,5.217562640493458,10,1,sqeuclidean
CBR,7,4.324783675540695,6.234759242283169,5.146047017576863,10,1,seuclidean
CBR,7,4.493862184308584,6.604906844274027,5.3717012163965006,10,1,mahalanobis
CBR,7,4.29929077202174,6.202534139779407,5.120643794707639,10,1,cityblock
CBR,7,4.3291555418815,6.240547502897873,5.153565882799802,10,1,minkowski
CBR,7,4.215721307236816,6.098316186752947,5.014233891224751,10,1,chebyshev
CBR,7,4.130747297243703,6.193014992165778,4.929072070458903,10,1,cosine
CBR,7,4.215538150958789,6.33152095996409,5.025587314226387,10,1,correlation
CBR,7,4.322102589780344,6.402563252630372,5.139182735239813,10,1,hamming
CBR,7,4.142065169330767,6.210354578817946,4.939333249475702,10,1,jaccard
CBR,9,5.113614846648772,7.630154723896589,6.157651576423444,3,0,euclidean
CBR,9,5.113614846648772,7.630154723896589,6.157651576423444,3,0,sqeuclidean
CBR,9,5.1815876233231055,7.694822419310145,6.2209998357716,3,0,seuclidean
CBR,9,5.760380876511915,8.435517094415827,6.8237039429843485,3,0,mahalanobis
CBR,9,5.236216964775119,7.776696298310802,6.2868533700363,3,0,cityblock
CBR,9,5.113614846648772,7.630154723896589,6.157651576423444,3,0,minkowski
CBR,9,5.197377012242454,7.623931381099805,6.230345721703707,3,0,chebyshev
CBR,9,4.700243763379073,7.167934792699278,5.615046818181262,3,0,cosine
CBR,9,5.105340231400166,7.727408176164537,6.131505934027916,3,0,correlation
CBR,9,5.439943981485759,8.01602571869531,6.481674540617135,3,0,hamming
CBR,9,5.165020947782439,7.549672803807777,6.122989375753219,3,0,jaccard
CBR,9,5.0636977905701,7.582263216830274,6.0910012087173495,3,1,euclidean
CBR,9,5.074846548011507,7.585266758098338,6.108258684965991,3,1,sqeuclidean
CBR,9,5.12210426110745,7.640937119941722,6.145885440550911,3,1,seuclidean
CBR,9,5.786035849299928,8.494197153916266,6.862878015874527,3,1,mahalanobis
CBR,9,5.185419423333027,7.737141805680756,6.221412371086733,3,1,cityblock
CBR,9,5.063697790570089,7.582263216830263,6.091001208717337,3,1,minkowski
CBR,9,5.198004082503704,7.632975496428134,6.23335240683216,3,1,chebyshev
CBR,9,4.693486144147422,7.152972816044801,5.609521439556813,3,1,cosine
CBR,9,5.080686978414421,7.70139365154324,6.105165741561897,3,1,correlation
CBR,9,5.435792476954019,8.014862074058572,6.477494530218962,3,1,hamming
CBR,9,5.165020947782435,7.549672803807773,6.122989375753215,3,1,jaccard
CBR,9,4.663813388111896,6.947852691189958,5.590669856745717,10,0,euclidean
CBR,9,4.663813388111896,6.947852691189958,5.590669856745717,10,0,sqeuclidean
CBR,9,4.679696973244429,6.966152014303123,5.607788409969452,10,0,seuclidean
CBR,9,4.599700664292857,6.993021701481914,5.521123024960353,10,0,mahalanobis
CBR,9,4.619341957579348,6.945019538511252,5.539058795771343,10,0,cityblock
CBR,9,4.663813388111896,6.947852691189958,5.590669856745717,10,0,minkowski
CBR,9,4.548563413760204,6.879050974447372,5.444541994393174,10,0,chebyshev
CBR,9,4.436278559024555,6.824600502968285,5.329699483494844,10,0,cosine
CBR,9,4.584300523484578,7.043366709068732,5.5099140527728565,10,0,correlation
CBR,9,4.6709329533820565,7.103440495642723,5.602319202434583,10,0,hamming
CBR,9,4.617326181869258,7.0747808283190725,5.508650993223372,10,0,jaccard
CBR,9,4.681939288077353,6.95719823628899,5.61178158028172,10,1,euclidean
CBR,9,4.7288969064239765,7.001338524105225,5.671451928089032,10,1,sqeuclidean
CBR,9,4.696956196850439,6.9735985957286415,5.6279429770454055,10,1,seuclidean
CBR,9,4.655847242380298,7.070287244609965,5.581105977631007,10,1,mahalanobis
CBR,9,4.671128916079884,6.983724613899772,5.599500670954745,10,1,cityblock
CBR,9,4.681939288077351,6.95719823628899,5.61178158028172,10,1,minkowski
CBR,9,4.568564297398125,6.885884627149257,5.46711062211493,10,1,chebyshev
CBR,9,4.405169348788087,6.802684283478979,5.289985618432156,10,1,cosine
CBR,9,4.553453841671487,7.020813896926274,5.476255088212652,10,1,correlation
CBR,9,4.671604325751449,7.102185562602682,5.603017453838534,10,1,hamming
CBR,9,4.61732618186926,7.074780828319075,5.508650993223374,10,1,jaccard
CBR,3,4.418028259892257,6.082710801696827,5.2722926729752055,5,0,euclidean
CBR,3,4.418028259892257,6.082710801696827,5.2722926729752055,5,0,sqeuclidean
CBR,3,4.419897537289503,6.085019632601335,5.275958341210834,5,0,seuclidean
CBR,3,5.186317341798914,7.619968904002637,6.164251319288433,5,0,mahalanobis
CBR,3,4.535711744557095,6.233116252839526,5.4256253713851,5,0,cityblock
CBR,3,4.418028259892257,6.082710801696827,5.2722926729752055,5,0,minkowski
CBR,3,4.311478227432004,5.939818215705954,5.150727259302014,5,0,chebyshev
CBR,3,4.319672660254564,6.161642059874523,5.151535716177902,5,0,cosine
CBR,3,4.816875840772667,6.881624682109356,5.769562958465294,5,0,correlation
CBR,3,4.694134967008452,6.383118808798864,5.544143921453951,5,0,hamming
CBR,3,4.967569578211136,6.804401117059502,5.850398725721198,5,0,jaccard
CBR,3,4.451842974842023,6.144607212017733,5.313078193246696,5,1,euclidean
CBR,3,4.484088649403757,6.225016444023456,5.354037543445036,5,1,sqeuclidean
CBR,3,4.451416189004147,6.14442533150479,5.314203261578094,5,1,seuclidean
CBR,3,5.317100140468681,7.786861397478733,6.304757856608223,5,1,mahalanobis
CBR,3,4.581258446934169,6.298406751801188,5.476670730802496,5,1,cityblock
CBR,3,4.451842974842014,6.144607212017726,5.313078193246687,5,1,minkowski
CBR,3,4.332388639274212,5.9743800467668535,5.162262780819226,5,1,chebyshev
CBR,3,4.395085892181248,6.260304272063986,5.224092701217916,5,1,cosine
CBR,3,4.800743720819233,6.8544760694918665,5.747112037561708,5,1,correlation
CBR,3,4.698739397699352,6.388132958226581,5.549266563638865,5,1,hamming
CBR,3,4.967569578211142,6.804401117059508,5.850398725721205,5,1,jaccard
CBR,3,4.466089631706622,6.097806507639104,5.358344136585299,7,0,euclidean
CBR,3,4.466089631706622,6.097806507639104,5.358344136585299,7,0,sqeuclidean
CBR,3,4.45866721810929,6.092303969001091,5.348609003375945,7,0,seuclidean
CBR,3,4.975764230804994,7.197590665455934,5.924685407933473,7,0,mahalanobis
CBR,3,4.337926356864393,6.006508008461984,5.211274162877312,7,0,cityblock
CBR,3,4.466089631706622,6.097806507639104,5.358344136585299,7,0,minkowski
CBR,3,4.2189701050584825,5.847169450243307,5.064041813999269,7,0,chebyshev
CBR,3,4.232756336064588,6.094427268686002,5.051139020203864,7,0,cosine
CBR,3,4.529503634849032,6.511440089417123,5.409602726310278,7,0,correlation
CBR,3,4.4349130394714,6.141379137534718,5.264740566502669,7,0,hamming
CBR,3,4.52403323523312,6.456467701555124,5.356339309167007,7,0,jaccard
CBR,3,4.479838090464432,6.128904968577063,5.37310533774084,7,1,euclidean
CBR,3,4.498179742897569,6.185307272424239,5.394273193817516,7,1,sqeuclidean
CBR,3,4.4728108707020455,6.121778223406754,5.364469612151162,7,1,seuclidean
CBR,3,5.055958481479688,7.350835579477501,6.0019722385489285,7,1,mahalanobis
CBR,3,4.389745469916236,6.074952610460435,5.268080652235522,7,1,cityblock
CBR,3,4.479838090464422,6.128904968577053,5.373105337740829,7,1,minkowski
CBR,3,4.249600454175884,5.877411319915986,5.092390369981586,7,1,chebyshev
CBR,3,4.286108456554629,6.162216836080622,5.102806743809972,7,1,cosine
CBR,3,4.515615551960761,6.506567708557932,5.393233282317631,7,1,correlation
CBR,3,4.437408211411823,6.146480869781212,5.267077013319412,7,1,hamming
CBR,3,4.524033235233119,6.456467701555123,5.356339309167005,7,1,jaccard
CBR,3,4.280775230485524,5.9078076022673365,5.120868644239934,9,0,euclidean
CBR,3,4.280775230485524,5.9078076022673365,5.120868644239934,9,0,sqeuclidean
CBR,3,4.243383299552264,5.876037666262072,5.078423848944204,9,0,seuclidean
CBR,3,4.702263285486391,6.786682356776196,5.604184856781447,9,0,mahalanobis
CBR,3,4.265095730711468,5.87716441239276,5.099942098239743,9,0,cityblock
CBR,3,4.280775230485524,5.9078076022673365,5.120868644239934,9,0,minkowski
CBR,3,4.213379995414559,5.816131178539259,5.03496273557893,9,0,chebyshev
CBR,3,4.200823228202412,6.012971779837115,5.006282612709437,9,0,cosine
CBR,3,4.408293657374902,6.316989466575244,5.272264537265237,9,0,correlation
CBR,3,4.372995729600893,6.080282590466238,5.188690926569614,9,0,hamming
CBR,3,4.173375730980895,6.07228777281655,4.9693438247480985,9,0,jaccard
CBR,3,4.31782972353248,5.9529283695963,5.165322773056762,9,1,euclidean
CBR,3,4.378567520571216,6.037274422124682,5.242770893256477,9,1,sqeuclidean
CBR,3,4.283643670618756,5.923822084067708,5.12684036279381,9,1,seuclidean
CBR,3,4.811018906542752,6.9365549645668825,5.712410585459296,9,1,mahalanobis
CBR,3,4.323895214423527,5.9442197211708185,5.17018881164169,9,1,cityblock
CBR,3,4.317829723532472,5.952928369596297,5.165322773056754,9,1,minkowski
CBR,3,4.23573804919444,5.830272433860299,5.055266722444617,9,1,chebyshev
CBR,3,4.252631394200949,6.081771680600024,5.0573153718167285,9,1,cosine
CBR,3,4.397639840178469,6.324005832859407,5.260419917982156,9,1,correlation
CBR,3,4.374623730767103,6.081994693385403,5.190110336295004,9,1,hamming
CBR,3,4.173375730980895,6.07228777281655,4.969343824748098,9,1,jaccard
CBR,5,4.534278554704336,6.380059894001891,5.382201990205507,5,0,euclidean
CBR,5,4.534278554704336,6.380059894001891,5.382201990205507,5,0,sqeuclidean
CBR,5,4.552846120788209,6.398560674541945,5.401768677606383,5,0,seuclidean
CBR,5,4.764115877844181,6.773191123603263,5.631625115462582,5,0,mahalanobis
CBR,5,4.644841810869045,6.4671542949827945,5.514433610942116,5,0,cityblock
CBR,5,4.534278554704336,6.380059894001891,5.382201990205507,5,0,minkowski
CBR,5,4.56845479268619,6.378607991127405,5.420408510273516,5,0,chebyshev
CBR,5,4.4991099994164205,6.532348413271297,5.335242397883247,5,0,cosine
CBR,5,4.609549262993952,6.779789029959486,5.460505375985342,5,0,correlation
CBR,5,4.844534935148622,6.905312324962541,5.708443271150486,5,0,hamming
CBR,5,4.830413578835185,6.797497764269197,5.695832851477785,5,0,jaccard
CBR,5,4.560538471241947,6.406491651697091,5.413400712802683,5,1,euclidean
CBR,5,4.596166693675799,6.462197597142318,5.456146584332111,5,1,sqeuclidean
CBR,5,4.577760646252514,6.423564515537412,5.431596301962925,5,1,seuclidean
CBR,5,4.791387473590725,6.879316297535684,5.662201760882244,5,1,mahalanobis
CBR,5,4.679574798413459,6.509637795209622,5.553662605584678,5,1,cityblock
CBR,5,4.560538471241952,6.406491651697094,5.413400712802692,5,1,minkowski
CBR,5,4.567265531464051,6.384656614736145,5.411290312583448,5,1,chebyshev
CBR,5,4.480672859421286,6.506203684880473,5.313205028596006,5,1,cosine
CBR,5,4.581813069256817,6.731323642432343,5.431659174118379,5,1,correlation
CBR,5,4.846409100925442,6.9067703493334,5.710846161152305,5,1,hamming
CBR,5,4.83041357883519,6.7974977642692,5.695832851477789,5,1,jaccard
CBR,5,4.495016883695105,6.326510303983694,5.350867369100672,7,0,euclidean
CBR,5,4.495016883695105,6.326510303983694,5.350867369100672,7,0,sqeuclidean
CBR,5,4.470260349081727,6.308502133891132,5.3233676706993,7,0,seuclidean
CBR,5,4.472201805702662,6.451234606951183,5.283799916247315,7,0,mahalanobis
CBR,5,4.466561593834003,6.308103967482979,5.326500219743539,7,0,cityblock
CBR,5,4.495016883695105,6.326510303983694,5.350867369100672,7,0,minkowski
CBR,5,4.377717611581221,6.1983980212744685,5.201532538976903,7,0,chebyshev
CBR,5,4.315188821726583,6.263958661707118,5.126115419592261,7,0,cosine
CBR,5,4.4695210949594895,6.576249087156947,5.314138206752081,7,0,correlation
CBR,5,4.630796869473889,6.662248205607405,5.484780648373695,7,0,hamming
CBR,5,4.500370752021794,6.532041113006412,5.339354888011038,7,0,jaccard
CBR,5,4.505585317345792,6.334983550837414,5.361872096792043,7,1,euclidean
CBR,5,4.528854093660735,6.376364748195865,5.387198338945544,7,1,sqeuclidean
CBR,5,4.482846847405142,6.318924230464358,5.3366364280978935,7,1,seuclidean
CBR,5,4.504060413848876,6.543710916139723,5.32465614442608,7,1,mahalanobis
CBR,5,4.5098612609473205,6.340510588875892,5.372345579329787,7,1,cityblock
CBR,5,4.505585317345794,6.334983550837416,5.361872096792048,7,1,minkowski
CBR,5,4.397892151171331,6.217839324786742,5.224533687153088,7,1,chebyshev
CBR,5,4.317091831333309,6.272357361599718,5.125334109152985,7,1,cosine
CBR,5,4.449225955887902,6.553424707581967,5.293020842414521,7,1,correlation
CBR,5,4.631205602164576,6.664214793206562,5.485090615052387,7,1,hamming
CBR,5,4.500370752021793,6.532041113006409,5.339354888011036,7,1,jaccard
CBR,5,4.34445417710018,6.249019544028441,5.173719054195474,9,0,euclidean
CBR,5,4.34445417710018,6.249019544028441,5.173719054195474,9,0,sqeuclidean
CBR,5,4.35045589853328,6.246462113698444,5.180328380958094,9,0,seuclidean
CBR,5,4.39805830303153,6.393891089366889,5.1965674371687856,9,0,mahalanobis
CBR,5,4.390218204464097,6.25420723801379,5.2240531456499895,9,0,cityblock
CBR,5,4.34445417710018,6.249019544028441,5.173719054195474,9,0,minkowski
CBR,5,4.28773459791903,6.131398202586223,5.08888870549851,9,0,chebyshev
CBR,5,4.28168898726152,6.307894809956913,5.086011896728561,9,0,cosine
CBR,5,4.388796254035161,6.468007700331834,5.222621443566347,9,0,correlation
CBR,5,4.542798370471133,6.55495727364233,5.367821774019873,9,0,hamming
CBR,5,4.229112906956493,6.262288763795724,5.025938271781448,9,0,jaccard
CBR,5,4.375052269353535,6.247507985072502,5.207958140865636,9,1,euclidean
CBR,5,4.431603513123756,6.288897975202657,5.274633904213664,9,1,sqeuclidean
CBR,5,4.377543344248117,6.245355727263754,5.210648724107463,9,1,seuclidean
CBR,5,4.396449125637902,6.444170655462504,5.1990169081991855,9,1,mahalanobis
CBR,5,4.43455948364032,6.26296227286586,5.274465621986634,9,1,cityblock
CBR,5,4.375052269353536,6.247507985072502,5.20795814086564,9,1,minkowski
CBR,5,4.311670530593684,6.141169510945047,5.114010318435467,9,1,chebyshev
CBR,5,4.275418186303248,6.293850196157841,5.072350629489378,9,1,cosine
CBR,5,4.369256788511951,6.447363750328806,5.202034660833954,9,1,correlation
CBR,5,4.542240532818298,6.553461767894095,5.367015902877614,9,1,hamming
CBR,5,4.229112906956491,6.262288763795722,5.025938271781445,9,1,jaccard
CBR,7,4.499172828283044,6.443888485246342,5.359872312135433,5,0,euclidean
CBR,7,4.499172828283044,6.443888485246342,5.359872312135433,5,0,sqeuclidean
CBR,7,4.502117505474316,6.438343105177934,5.362290334225436,5,0,seuclidean
CBR,7,4.908176703625521,7.130290291478378,5.842791424149254,5,0,mahalanobis
CBR,7,4.548898136316935,6.488453070701506,5.425739814355383,5,0,cityblock
CBR,7,4.499172828283044,6.443888485246342,5.359872312135433,5,0,minkowski
CBR,7,4.445751527953306,6.312229152397535,5.293025626543091,5,0,chebyshev
CBR,7,4.305669618731162,6.31119846609327,5.120523872659994,5,0,cosine
CBR,7,4.373975576763348,6.544147877011377,5.194827867987627,5,0,correlation
CBR,7,4.685840268069528,6.778830434990427,5.541059910357922,5,0,hamming
CBR,7,4.6123685194051385,6.695741611723665,5.481827721458913,5,0,jaccard
CBR,7,4.520917163177348,6.460634438168246,5.386091294931982,5,1,euclidean
CBR,7,4.548399389363717,6.503875508884507,5.419865103811539,5,1,sqeuclidean
CBR,7,4.523504339004979,6.457109848685372,5.388197777287829,5,1,seuclidean
CBR,7,4.954611939765483,7.156159974484627,5.895987102093745,5,1,mahalanobis
CBR,7,4.583372682669253,6.529223623339486,5.464489152766428,5,1,cityblock
CBR,7,4.520917163177343,6.4606344381682455,5.38609129493198,5,1,minkowski
CBR,7,4.447808118101055,6.320272113059037,5.2916563963966805,5,1,chebyshev
CBR,7,4.260004270304516,6.266332022090368,5.067383658696441,5,1,cosine
CBR,7,4.349769515367559,6.520814744003411,5.171004504377115,5,1,correlation
CBR,7,4.686580630787576,6.780035339272946,5.542200477731729,5,1,hamming
CBR,7,4.612368519405141,6.695741611723665,5.481827721458915,5,1,jaccard
CBR,7,4.473576828086517,6.413842505713055,5.340832664418143,7,0,euclidean
CBR,7,4.473576828086517,6.413842505713055,5.340832664418143,7,0,sqeuclidean
CBR,7,4.430044748920123,6.359766291867481,5.284515692149269,7,0,seuclidean
CBR,7,4.685424784092134,6.847034227553227,5.599620722882332,7,0,mahalanobis
CBR,7,4.38425330571267,6.334890428049107,5.238915591616054,7,0,cityblock
CBR,7,4.473576828086517,6.413842505713055,5.340832664418143,7,0,minkowski
CBR,7,4.278268790349846,6.150100720406769,5.093035459242069,7,0,chebyshev
CBR,7,4.203330635616338,6.216810687104712,5.00693446515178,7,0,cosine
CBR,7,4.371183674151251,6.551608847971812,5.200992255023809,7,0,correlation
CBR,7,4.537324168240938,6.6399083539488775,5.391122289810764,7,0,hamming
CBR,7,4.399243831021421,6.47077396442689,5.251539893355283,7,0,jaccard
CBR,7,4.482539192558648,6.416366774957994,5.351910992309664,7,1,euclidean
CBR,7,4.504420532767576,6.447509320611635,5.378275426950179,7,1,sqeuclidean
CBR,7,4.4456445751513645,6.37436514769557,5.303514205540486,7,1,seuclidean
CBR,7,4.7229134565956565,6.886588955382745,5.645479481874867,7,1,mahalanobis
CBR,7,4.431454047373758,6.372247019677475,5.292073521719106,7,1,cityblock
CBR,7,4.482539192558645,6.416366774957992,5.351910992309663,7,1,minkowski
CBR,7,4.299852231232538,6.171874237555569,5.119834854451049,7,1,chebyshev
CBR,7,4.200575585955368,6.2112596177295325,5.0015050009253175,7,1,cosine
CBR,7,4.334044972562568,6.519940963409768,5.1612879636407625,7,1,correlation
CBR,7,4.537357065089024,6.639708419853924,5.390922351399372,7,1,hamming
